Var,Hab_Planet,Non_Hab_Planet,p_values
P_MASS,3.82,8.7,2.4667324474293055e-14
P_RADIUS,1.78,2.81,3.6806432514325813e-14
P_PERIOD,36.116,11.390967,1.1276312384324805e-08
P_SEMI_MAJOR_AXIS,0.164,0.1017,0.035135896345779204
P_ECCENTRICITY,0.0505,0.0,4.3463396443958405e-05
P_INCLINATION,89.814,88.74,8.02157463575035e-12
P_OMEGA,88.0,104.0,0.2227054456423327
S_RA,259.75106,286.0363,0.014750676925515283
S_DEC,5.225807,39.9406565,0.013679637403498387
S_MAG,13.979,13.472,0.018111835768556347
S_DISTANCE,31.1265,420.0,1.2188818649724232e-18
S_TEMPERATURE,3461.0,5564.5,1.4857135411227584e-31
S_MASS,0.42,0.95,9.586243536958243e-31
S_RADIUS,0.42,0.96,2.3210003227317334e-33
S_METALLICITY,-0.13,0.02,1.3590614629431843e-09
S_AGE,4.035,3.98,0.7225456675853454
S_LOG_LUM,-1.64,-0.056,7.618609114391052e-34
S_LOG_G,4.78,4.45,1.6598678541776886e-31
P_ESCAPE,1.4652279,1.7399688000000002,8.884671396989969e-14
P_POTENTIAL,2.1468927000000004,3.0274914,8.884671396989969e-14
P_GRAVITY,1.1404926000000002,1.1559392,0.5965233055432136
P_DENSITY,0.67733475,0.46434787,3.9169510061338453e-07
P_HILL_SPHERE,0.0032384982,0.0023988268,0.2986249128696653
P_DISTANCE,0.164,0.1021,0.031726182621061395
P_PERIASTRON,0.1564414,0.09742100000000001,0.08377594139231488
P_APASTRON,0.18201687,0.105,0.017632237762142604
P_DISTANCE_EFF,0.164,0.1019,0.0341316448062036
P_FLUX,0.85982688,69.446182,2.710044897112e-32
P_TEMP_EQUIL,244.09562999999997,733.54187,5.069383299757419e-32
P_TEMP_SURF,275.66766,925.0785,5.832342619229931e-45
S_LUMINOSITY,0.022908677000000002,0.87902252,8.063590445278459e-34
S_SNOW_LINE,0.40866154,2.5314174,8.063590445278459e-34
S_ABIO_ZONE,0.028517873,1.3819539,6.285260692886862e-32
S_TIDAL_LOCK,0.31880303,0.444443015,3.6146361985868306e-22
P_ESI,0.72932121,0.26636557,1.8059566394088846e-45
